Country,City,Business Name,Address,Website,Email,Phone Number
Europe,Amsterdam,INFO," Sint Antoniesbreestraat 16, 1011 HB Amsterdam",https://www.info.nl,contact@info.nl,+31 (0)20 530 9100
Europe,"Miami,New York,Milan",Digital Silk," 78 SW 7th Street, Miami, FL 33130, 18 West 18th Street New York, NY 10011, Via Meravigli, 2 Milano MI 20213",https://www.digitalsilk.com/?utm_source=digital_agency_network&utm_medium=referral&utm_campaign=digital_agency_network&utm_term=miami_agencies,info@digtialsilk.com,"(800) 856-5417,(800) 856-5417,(800) 856-5417"
Europe,Amsterdam,Ask Phill," Prinsengracht 3D 1015 DK, Amsterdam, The FCCJ Yurakucho 1-7-1, Chiyoda-ku Tokyo, 100-0006",https://askphill.com,phill@askphill.com,"+31 650518932,+81 80 13572499"
Europe,Milan,Studio Up, Via Esopo 8 Milan Italy,https://www.studioup.it,lonetto@studioup.it,3292584409
Europe,Milan,Lotrèk," Via Luigi Galvani 15, Pistoia, Italia, Via Pastrengo, 14 Milano, Italia",https://www.lotrek.it,dimmitutto@lotrek.it,"+39 0573 1780804,+39 0573 1780804"
Europe,Dublin,Together Digital," Unit 3, The Distillery Building, Distillery Road, Dublin 3",https://www.togetherdigital.ie,info@togetherdigital.ie,+353 (0) 1 681 4440
Europe,Amsterdam,Meijer & Walters," Tweede Helmersstraat 90 hs, 1054 CN Amsterdam",https://www.meijerwalters.com,info@meijerwalters.com,+31 20 22 37 441
Europe,Amsterdam,This Page Amsterdam," Oudezijds Achterburgwal 63
1012 DB Amsterdam",https://thispage.amsterdam,hello@thispage.amsterdam,+31 (0) 20 320 1111
Europe,"London,Manchester,Boston,Dublin",Dept," 15-19 Bloomsbury Way
WC1A 2TH London, 87 Summer Street 02110 Boston, MA, 24 Earlsfort Terrace D02 KC42 Dublin, 9th Floor, Bridgewater House, Whitworth Street M1 6LT Manchester, Generaal Vetterstraat 66 1059 BW Amsterdam, Friedenstr. 91a 10249 Berlin, Gustav-Heinemann-Ufer 72a 50968 Cologne, Torvegade 29 1400 Copenhagen, Am Brauhaus 10a 01099 Dresden, Borselstraße 16 f 22765 Hamburg, Leutragraben 2-4 07743 Jena, Markgrafenstraße 2 04109 Leipzig, Diagonal Pueyrredón 2970 7600 Mar del Plata, 81 Prospect St. NY 11201 NYC, 20 Inn Street MA 01950 Newburyport, 44 rue Damrémont 75018 Paris, Delftseplein 27N 3013 AA Rotterdam, 75 E Santa Clara Street CA 95113 San Jose, Partizanski Odredi 26A/1 1000 Skopje, Krbavska 29 21000 Split, Traverse 3 3905 NL Veenendaal, Avenija Dubrovnik 10/I 10000 Zagreb, Avenida Alcalde Gómez Laguna 25 CEA Planta 9 B 50009 Zaragoza, Binzmühlestrasse 170c 8050 Zürich",https://www.deptagency.com,london@deptagency.com,"+44(0)2035141153,+1(925)8541970,+353(0)16789992,+44(0)1616974800,+31(0)880400888,+49(0)304036830,+49(0)22117733710,+4577342774,+49(0)36415594551,+49(0)4080818030,+49(0)36415594510,+49(0)36415594515,+543515697999,(925)854-1970,(925)854-1970,+33680825774,+31(0)880400888,(925)854-1970,+389(0)23225667,+385914778258,+31(0)880400877,+385914778258,+34876611099,+41445764811"
Europe,"Bournemouth,London,New York,San Francisco,Toronto,Amsterdam,Dubai,Beijing,Hong Kong",Crowd," Wilson House, Lorne Park Road , 2, Bournemouth, Dorset BH1 1JN, GB, 20-22 Wenlock Road, London, London N1 7GU, GB, Herengracht 420, BV, Amsterdam, North Holland 1017BZ, NL, 110 Kent Ave, Studio 3, Brooklyn, New York 11249, US, 230 Oak St, Toronto, Ontario CA, 425 2nd St Suite 100, San Francisco, CA 94107, US, A1-07 Empire Heights, Podium Level, Dubai, UAE 124584, AE, CONTACT CROWD BEIJING  Xin Jiang House 7 San Li He Road Hai Dian District Beijing China, Wetland National Park West Lake Yu Hang District Hangzhou City Zhejiang Province China, Si Lian Smart House Technology Er Road High-tech Zone Xi’an City Shanxi Province China, Room 305 Building F New Generation Technological and Industrial Park No. 139 Chuangye 2 road Xin'an avenue Bao'an district Shenzhen city Guangdong province China, No. 34, Bo Tiao West Road, Du Jiang Yan, Sichuan",https://thisiscrowd.com/?utm_medium=DAN&utm_source=Digital_Agency_Network&utm_campaign=New_Account,results@thisiscrowd.com,"+44 (0) 1202 529 743,+44 (0) 1202 529 743,+31 (0) 20 2101611,+1 (855) 270-3270,+1 (855) 270-3270,+971 (0) 4 436 5698,+86 185 2086 1259,+86 185 2086 1259,+86 185 2086 1259,+86 185 2086 1259,+86 185 2086 1259"
Europe,"Berlin,Dublin,London",Kooba," The Daintree Building
62 Pleasants Place
Dublin
Ireland, Wattstraße 11 13355 Berlin Germany",https://www.kooba.ie,sales@kooba.ie,"+353 1 444 6677,+49 30 22012556"
Europe,"London,Dublin",Zesty," 1 London Bridge Street 
LONDON,
SE1 9GF,
United Kingdom, 2ND FLOOR, MACKEN HOUSE 39-40 MAYOR STREET UPPER DUBLIN 1, D01 C9W8, LEVEL 7, CITY QUAYS 2, CLARENDON ROAD, BELFAST BT1 3FD",https://www.simplyzesty.com,website@simplyzesty.com,"+442077821414,+353 (0)1 660 2260,+44 (0)28 9043 6655"
Europe,"Bristol,London,Lisbon",Polleni," Spitalfields
68 Hanbury Street
London, E1 5JL
United Kingdom, 15 – 17 Backfields Lane Stokes Croft Bristol, BS2 8QW United Kingdom, Mercado da Ribeira Avenida 24 de Julho Lisboa, 1200-479 Portugal",https://www.polleni.com,london@polleni.com,"+44 0333 050 4092,+44 0333 050 4092,+351 936 725 621"
Europe,"Oslo,Warsaw,London",Startup Development House," Al. Niepodległości 124/23 floor 7, Warsaw 02-577, Tjuvholmen allé 3, 0252 Oslo, Norway, New Kings Beam House, 22 Upper Ground, South Bank, London SE1 9PD, United Kingdom",https://start-up.house/en?utm_source=dan,alex@start-up.house,+48 662 348 115
Europe,"Amsterdam,Berlin,Los Angeles",Edenspiekermann," 448 S Hill Street, Suite 1012, Los Angeles, CA 90013, 169 Joo Chiat Road, #03-01  Singapore 427729, Singapore, 30 Cove Road  Belvedere, CA 94920  USA, Potsdamer Straße 83  10785 Berlin, Germany, Barentszplein 7 II  1013 NJ Amsterdam, The Netherlands, 125 S Clark St, 17th Floor  Chicago, IL 60603  USA",https://www.edenspiekermann.com/intl,info@us.edenspiekermann.com,"+1 (323) 607-2800,+65 63‌04 32‌29,+1 415 519 5949,+49 30 212 808 0,+31 20 550 6300,+1 (312) 766-0899"
Europe,Rotterdam,Dotcontrol," Van Nelle Fabriek Schiehal G Van Nelleweg 1 3044 BC, Rotterdam",https://dotcontrol.com/?utm_source=dan&utm_medium=agency-rotterdam,info@dotcontrol.com,+31 (0) 107144646
Europe,Berlin,bleech," Pfuelstraße 5, 10997 Berlin",https://bleech.de/en/?utm_source=digitalagencynetwork&utm_medium=listing&utm_campaign=premium,hello@bleech.de,030 44017947
Europe,Paris,My Client is Rich," 2A rue Moll, 67000 Strasbourg",https://en.myclientisrich.com,money@myclientisrich.com,+33 (0)9 72 37 60 65
Europe,Barcelona,MoreThanWeb," Calle Mallorca 410 Ent.14, Barcelona",https://www.morethanweb.es,info@morethanweb.es,+34 93 137 66 17 
