Country,City,Business Name,Address,Website,Email,Phone Number
UK,"New York,San Francisco,London",Beyond," 236 W 27th St, 11th Floor
NY 10001, 75 Bermondsey Street SE1 3XF, 100 Montgomery Street CA 94104",https://bynd.com,business@bynd.com,"+1 347 460 5045,+44 (0)20 7908 6555,+1 415 944 1525"
UK,London,Kota," 1-5 Clerkenwell Rd,
London, EC1M 5PA",https://kota.co.uk,hello@kota.co.uk,+442039510562
UK,Bath,Dsgn One," Northgate House, Upper Borough Walls, Bath, BA1 1RG, 67 Wingate Square, Clapham Common, London, SW4 0AF",https://dsgnone.com,info@dsgnone.com,"1225510106,020 3131 8900"
UK,Bournemouth,Bournemouth Digital," 78 Avon Road, Bournemouth, Dorset BH8 8SF, GB",https://bournemouth.digital,info@boudig.com,+44 01202 800994
UK,"London,Southampton",Elevate UK," Kemp House
152 – 160 City Road
London
EC1V 2NX, Carlton Crescent Southampton SO15 2EW",https://www.elevateuk.com,info@elevateuk.com,"+44 02031315959,+44 02380 082 667"
UK,Southampton,Bison Grid," Unit 2, Church House Farm,
Clewers Hill, Waltham Chase,
Southampton, SO32 2LN",https://www.bisongrid.uk,info@bisongrid.uk,+44 01489 890460
UK,"Bournemouth,London,New York,San Francisco,Toronto,Amsterdam,Dubai,Beijing,Hong Kong",Crowd," Wilson House, Lorne Park Road , 2, Bournemouth, Dorset BH1 1JN, GB, 20-22 Wenlock Road, London, London N1 7GU, GB, Herengracht 420, BV, Amsterdam, North Holland 1017BZ, NL, 110 Kent Ave, Studio 3, Brooklyn, New York 11249, US, 230 Oak St, Toronto, Ontario CA, 425 2nd St Suite 100, San Francisco, CA 94107, US, A1-07 Empire Heights, Podium Level, Dubai, UAE 124584, AE, CONTACT CROWD BEIJING  Xin Jiang House 7 San Li He Road Hai Dian District Beijing China, Wetland National Park West Lake Yu Hang District Hangzhou City Zhejiang Province China, Si Lian Smart House Technology Er Road High-tech Zone Xi’an City Shanxi Province China, Room 305 Building F New Generation Technological and Industrial Park No. 139 Chuangye 2 road Xin'an avenue Bao'an district Shenzhen city Guangdong province China, No. 34, Bo Tiao West Road, Du Jiang Yan, Sichuan",https://thisiscrowd.com/?utm_medium=DAN&utm_source=Digital_Agency_Network&utm_campaign=New_Account,results@thisiscrowd.com,"+44 (0) 1202 529 743,+44 (0) 1202 529 743,+31 (0) 20 2101611,+1 (855) 270-3270,+1 (855) 270-3270,+971 (0) 4 436 5698,+86 185 2086 1259,+86 185 2086 1259,+86 185 2086 1259,+86 185 2086 1259,+86 185 2086 1259"
UK,"Liverpool,London,Manchester",Click Consult (Part of Ceuta Group)," Regents Place
338 Euston Road
London, NW1 3BT, Willow House Oaklands Office Park Hooton Cheshire, CH66 7NZ, Hill House 41 Richmond Hill Bournemouth BH2 6HS",https://www.click.co.uk,hello@click.co.uk,0845 307 4481
UK,"Birmingham,Bristol,Leeds,Liverpool,London,Manchester,Newcastle,Nottingham,Boston,Los Angeles,New York,Philadelphia,San Francisco,Washington DC",Mayple," 15 Bishopsgate London EC2N 3AR, 34th st. 45 east, New York (5th floor)",https://link.mayple.com/dan,mayplers@mayple.com,"+44 2080893885,+1 917 9055909"
UK,Nottingham,Kumo," NBV Enterprise Centre,
David Lane,
Nottingham.
NG6 0JU.",https://www.kumodigital.co.uk,info@kumodigital.co.uk,+44 01159648205
